date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
03:32:49	40829/40829	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2012:14:10%20GMT	https://www.pikeadmin.com/demo/	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/index.html	(from )
03:32:49	327/327	---M--	404	error ('Not%20Found')	text/html	date:Mon,%2015%20Oct%202018%2010:32:50%20GMT	https://www.pikeadmin.com/robots.txt		(from )
03:32:49	318/318	---M--	200	added ('OK')	image/x-icon	date:Mon,%2006%20Nov%202017%2000:39:13%20GMT	https://www.pikeadmin.com/demo/assets/images/favicon.ico	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/assets/images/favicon.ico	(from https://www.pikeadmin.com/demo/)
03:32:50	31000/31000	---M--	200	added ('OK')	text/css	date:Mon,%2018%20Sep%202017%2009:22:28%20GMT	https://www.pikeadmin.com/demo/assets/font-awesome/css/font-awesome.min.css	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/assets/font-awesome/css/font-awesome.min.css	(from https://www.pikeadmin.com/demo/)
03:32:50	140936/140936	---M--	200	added ('OK')	text/css	date:Mon,%2023%20Jul%202018%2015:37:28%20GMT	https://www.pikeadmin.com/demo/assets/css/bootstrap.min.css	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/assets/css/bootstrap.min.css	(from https://www.pikeadmin.com/demo/)
03:32:51	26626/26626	---M--	200	added ('OK')	text/css	date:Sat,%2016%20Dec%202017%2015:56:19%20GMT	https://www.pikeadmin.com/demo/assets/css/style.css	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/assets/css/style.css	(from https://www.pikeadmin.com/demo/)
03:32:51	5034/5034	---M-Z	200	added ('OK')	text/css	etag:%2211211b6-13aa-5712f444d42ea-gzip%22	https://cdn.datatables.net/1.10.16/css/dataTables.bootstrap4.min.css	C:/My%20Web%20Sites/tttt/cdn.datatables.net/1.10.16/css/dataTables.bootstrap4.min.css	(from https://www.pikeadmin.com/demo/)
03:32:51	40829/40829	---M-Z	200	added ('OK')	text/html	date:Tue,%2019%20Dec%202017%2012:14:10%20GMT	https://www.pikeadmin.com/demo/index.html	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/index-2.html	(from https://www.pikeadmin.com/demo/)
03:32:52	2347/2347	---M--	200	added ('OK')	image/png	date:Sun,%2029%20Oct%202017%2012:25:05%20GMT	https://www.pikeadmin.com/demo/assets/images/logo.png	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/assets/images/logo.png	(from https://www.pikeadmin.com/demo/)
03:32:52	1845/1845	---M--	200	added ('OK')	image/png	date:Mon,%2011%20Dec%202017%2017:02:10%20GMT	https://www.pikeadmin.com/demo/assets/images/avatars/avatar2.png	C:/My%20Web%20Sites/tttt/www.pikeadmin.com/demo/assets/images/avatars/avatar2.png	(from https://www.pikeadmin.com/demo/)
